Age,Work_Hours_Per_Week,Projects_Handled,Training_Hours,Employee_Satisfaction_Score,Resigned
45,51,10,61,2.13,FALSE
39,51,35,25,4.9,FALSE
55,48,37,13,4.94,FALSE
33,42,46,93,3.44,FALSE
30,59,33,38,2.99,FALSE
53,38,48,62,1.68,FALSE
47,43,25,12,1.47,FALSE
50,38,20,95,2.26,FALSE
29,59,3,2,3.69,FALSE
43,32,19,47,4.69,FALSE
52,36,23,81,1.23,FALSE
52,53,48,35,2.5,FALSE
36,45,19,17,3.5,FALSE
27,55,40,97,3.31,FALSE
41,31,37,55,1.34,FALSE
33,42,26,89,3.6,FALSE
32,47,26,44,1.91,FALSE
45,53,40,94,2.57,FALSE
29,42,44,57,4.91,FALSE
46,54,38,5,4.58,FALSE
35,41,20,39,3.64,FALSE
53,51,43,66,4.81,FALSE
28,44,11,90,3.38,FALSE
42,58,7,21,4.13,FALSE
27,56,42,35,3.4,FALSE
23,32,37,44,1.42,FALSE
57,56,3,31,4.74,FALSE
37,59,13,52,4.95,FALSE
38,33,18,2,1.6,FALSE
27,60,15,67,3.88,FALSE
47,40,20,47,4.8,FALSE
33,48,6,3,4.64,FALSE
33,40,26,5,3.35,FALSE
38,36,40,30,2.98,FALSE
46,49,26,83,3.37,FALSE
35,57,3,3,4.84,FALSE
37,56,32,77,4.41,FALSE
33,39,21,49,4.5,FALSE
31,33,23,40,4.89,FALSE
30,52,33,18,2.83,FALSE
45,52,48,79,3.28,FALSE
37,59,1,48,2.73,FALSE
49,34,46,95,2.34,FALSE
31,38,39,38,1.43,FALSE
55,47,36,17,4.1,FALSE
33,32,40,62,1.3,FALSE
45,31,9,27,1.61,FALSE
54,32,42,8,3.01,FALSE
39,43,10,9,1.9,FALSE
37,51,1,2,3.61,FALSE
24,58,39,28,1.41,FALSE
37,39,0,98,1.46,FALSE
31,47,20,16,1.31,FALSE
32,36,38,89,3.8,FALSE
52,34,43,19,3.6,FALSE
46,55,36,0,1.27,FALSE
50,58,36,44,3.78,FALSE
39,49,41,16,1.47,FALSE
32,44,43,36,4.64,FALSE
27,53,42,49,2.63,FALSE
57,48,6,16,4.15,FALSE
58,56,26,82,3.49,FALSE
23,36,38,24,4.23,FALSE
57,43,43,10,4.73,FALSE
55,32,28,93,4.32,FALSE
29,45,5,18,2.91,FALSE
34,38,33,51,4.39,FALSE
55,30,40,7,2.58,FALSE
55,36,10,17,1.25,FALSE
34,60,27,15,1.72,FALSE
42,42,32,81,4.55,FALSE
58,57,16,1,1.6,FALSE
32,59,46,49,2.28,FALSE
55,32,34,3,1.44,FALSE
58,34,47,23,1.22,FALSE
42,56,19,38,1.91,FALSE
55,50,7,55,3.18,FALSE
25,59,12,62,4.59,FALSE
58,35,47,80,3.31,FALSE
48,50,42,30,4.79,FALSE
48,49,37,2,1.26,FALSE
41,46,10,89,1.46,FALSE
28,43,46,96,2.04,FALSE
47,54,40,91,4.74,FALSE
39,33,9,72,1.7,FALSE
55,46,19,38,2.83,FALSE
50,43,16,21,1.37,FALSE
31,57,48,39,3.37,FALSE
31,53,30,96,4.63,FALSE
30,40,7,57,3.16,FALSE
36,56,45,84,3.38,FALSE
44,38,37,59,4.6,FALSE
37,59,35,32,1.98,FALSE
34,38,20,17,1.45,FALSE
57,32,39,66,2.68,FALSE
27,42,22,39,1.52,FALSE
57,51,36,70,2.48,FALSE
36,55,9,23,1.03,FALSE
56,45,38,34,3.58,FALSE
55,60,49,43,4.17,FALSE
41,48,33,56,2.61,FALSE
27,48,1,87,4.46,FALSE
25,56,24,51,1.52,FALSE
55,56,28,58,3.55,FALSE
44,53,41,17,4.96,FALSE
39,57,11,62,1.37,FALSE
48,30,10,93,3.67,FALSE
55,46,47,73,4.57,FALSE
51,48,8,62,4.22,FALSE
45,58,1,7,1.42,FALSE
24,54,2,24,3.4,FALSE
52,57,47,89,2.81,FALSE
31,47,28,93,3.41,FALSE
28,47,16,43,2.91,FALSE
22,50,37,36,2.54,FALSE
24,42,17,64,3.37,FALSE
54,51,26,20,4.42,FALSE
30,35,38,81,4.33,FALSE
46,30,32,74,3.81,FALSE
43,58,27,55,1.02,FALSE
24,58,1,19,1.93,FALSE
37,50,21,19,4.6,FALSE
45,49,12,11,2.23,FALSE
53,38,28,7,2.86,FALSE
48,39,33,63,4.94,FALSE
32,43,31,88,2.19,FALSE
53,33,31,61,3.44,FALSE
54,56,32,74,4.75,FALSE
22,52,42,95,1.49,FALSE
32,33,4,60,2.9,FALSE
51,32,31,61,4.01,FALSE
28,40,46,58,3.06,FALSE
35,57,4,86,4.23,FALSE
35,35,24,48,4.87,FALSE
56,47,31,11,4.29,FALSE
22,41,8,89,1.39,FALSE
29,31,34,86,3.73,FALSE
33,58,43,37,3.65,FALSE
50,42,5,25,1,FALSE
41,33,37,3,3.25,FALSE
41,46,38,77,2.98,FALSE
22,30,10,27,3.36,FALSE
30,31,47,77,2.63,FALSE
27,39,1,44,1.84,FALSE
46,47,14,53,3.83,FALSE
38,33,8,53,2.27,FALSE
45,57,8,58,1.7,FALSE
22,55,42,94,3.25,FALSE
38,42,14,27,1.63,FALSE
42,30,46,50,1.55,FALSE
56,45,10,20,2.95,FALSE
44,40,9,18,3.93,FALSE
40,30,7,63,4.62,FALSE
33,45,35,74,4.92,FALSE
58,55,30,38,3.65,FALSE
35,54,33,50,3.87,FALSE
27,53,45,39,4.24,FALSE
31,37,14,65,1.5,FALSE
36,30,0,41,1.6,FALSE
32,53,16,35,2.17,FALSE
38,50,36,1,2.52,FALSE
52,56,45,28,4.29,FALSE
34,43,45,51,4.57,FALSE
34,54,37,6,4.61,FALSE
50,43,2,4,4.38,FALSE
60,33,27,77,3.14,FALSE
42,53,10,63,2.59,FALSE
28,41,10,95,1.73,FALSE
59,30,29,28,1.76,FALSE
58,54,23,45,3.77,FALSE
24,54,3,7,2.39,FALSE
53,50,7,73,4.62,FALSE
47,60,20,67,1.42,FALSE
35,60,12,85,3.55,FALSE
39,46,26,81,2.4,FALSE
59,32,0,99,4.16,FALSE
30,40,29,34,4.8,FALSE
49,49,46,4,2.6,FALSE
38,52,33,86,4.2,FALSE
23,36,29,45,2.15,FALSE
40,60,18,67,2.73,FALSE
59,38,38,17,4,FALSE
46,49,29,63,3.26,FALSE
47,49,8,99,3.82,FALSE
25,34,8,37,3.6,FALSE
40,32,31,44,4.48,FALSE
40,36,33,28,1.48,FALSE
60,32,22,53,2.6,FALSE
44,38,8,48,4.12,FALSE
50,32,8,65,3.43,FALSE
43,36,21,42,1.31,FALSE
43,47,1,76,3.63,FALSE
53,55,26,25,1.26,FALSE
25,40,9,55,3.28,FALSE
37,51,13,44,3.48,FALSE
60,45,12,98,2.21,FALSE
38,47,49,9,3.43,FALSE
44,37,25,67,2.03,FALSE
60,38,39,75,2.86,FALSE
25,35,27,16,1.23,FALSE
26,51,44,33,2.01,FALSE
42,36,0,55,3.29,FALSE
22,48,24,69,3.19,FALSE
34,30,39,66,1.21,FALSE
60,50,4,17,2.26,FALSE
22,43,27,84,1.77,FALSE
29,35,25,14,2.45,FALSE
37,30,38,3,4.85,FALSE
31,32,11,88,2.78,FALSE
31,31,5,95,4.36,FALSE
24,50,45,89,2.18,FALSE
22,35,34,20,3.56,FALSE
45,46,8,84,2.48,FALSE
26,31,46,67,2.04,FALSE
36,35,33,47,3.24,FALSE
27,48,11,33,2.73,FALSE
42,31,42,19,2.68,FALSE
55,60,21,75,3.14,FALSE
53,41,49,53,2.44,FALSE
23,52,1,17,1.24,FALSE
59,36,3,16,3.85,FALSE
22,36,5,28,1.15,FALSE
44,54,18,92,2.77,FALSE
50,33,3,20,1.03,FALSE
51,31,47,14,3.1,FALSE
53,33,38,92,2.18,FALSE
44,48,32,57,1.96,FALSE
51,54,34,45,1.23,FALSE
47,57,21,4,1.84,FALSE
25,34,4,88,4.74,FALSE
58,58,37,82,2.44,FALSE
38,46,33,47,4.01,FALSE
25,40,11,8,1.67,FALSE
57,36,43,0,2.85,FALSE
57,41,11,69,3.63,FALSE
27,49,29,55,2.69,FALSE
59,30,21,52,2.42,FALSE
42,60,10,28,4.31,FALSE
59,31,36,68,1.53,FALSE
54,60,22,89,4.23,FALSE
42,56,7,61,1.22,FALSE
48,35,46,81,3.75,FALSE
23,34,3,39,4.44,FALSE
31,51,28,8,4.09,FALSE
44,45,7,91,1.59,FALSE
23,45,42,29,4.51,FALSE
23,59,19,3,4.3,FALSE
37,53,31,91,3.44,FALSE
33,47,47,45,4.11,FALSE
36,45,30,73,1.95,FALSE
40,52,2,60,2.72,FALSE
31,55,31,39,4.62,FALSE
37,34,11,80,3.52,FALSE
23,40,44,76,3.39,FALSE
48,53,27,68,2.08,FALSE
41,56,7,4,2.62,FALSE
32,47,19,41,4.97,FALSE
33,40,24,8,2.35,FALSE
23,39,28,44,2.42,FALSE
54,32,22,10,3.93,FALSE
57,37,45,76,1.01,FALSE
29,43,23,48,1.93,FALSE
38,52,49,44,1.28,FALSE
59,49,14,61,4.47,FALSE
28,36,28,59,4.26,FALSE
39,41,23,79,4.69,FALSE
40,57,13,45,1.75,FALSE
35,59,32,55,3.95,FALSE
27,35,4,68,3.77,FALSE
31,35,10,54,3.86,FALSE
59,55,21,71,1.04,FALSE
39,56,19,96,2.49,FALSE
48,41,29,65,2.32,FALSE
32,41,43,65,4.82,FALSE
45,60,5,35,1.58,FALSE
37,54,22,54,3.56,FALSE
38,54,45,6,4.63,FALSE
59,46,12,29,3.84,FALSE
47,46,23,54,4.3,FALSE
23,58,34,26,2.04,FALSE
32,49,23,15,3.47,FALSE
56,46,6,62,1.89,FALSE
40,52,42,56,4.35,FALSE
26,53,6,75,1.53,FALSE
36,59,2,38,2.3,FALSE
49,51,24,94,3.14,FALSE
26,48,4,11,2.9,FALSE
41,56,14,51,1.78,FALSE
38,59,9,74,2.23,FALSE
27,58,24,7,1.49,FALSE
39,33,38,62,4.78,FALSE
52,52,45,10,2.65,FALSE
50,36,6,23,4.08,FALSE
38,32,14,33,2.17,FALSE
23,39,6,95,4.61,FALSE
59,49,6,85,2.16,FALSE
41,34,35,8,3.4,FALSE
35,42,45,1,1.05,FALSE
46,39,0,0,1.85,FALSE
28,55,30,54,3.75,FALSE
39,58,41,9,2.92,FALSE
39,52,36,57,2.49,FALSE
25,45,36,32,1.81,FALSE
41,31,40,91,4.55,FALSE
24,58,48,37,4.75,FALSE
44,56,44,8,2.44,FALSE
57,31,49,28,3.25,FALSE
50,45,6,77,3.11,FALSE
55,38,37,77,2.49,FALSE
49,41,9,1,1.96,FALSE
40,44,7,80,4.53,FALSE
37,42,12,84,1.61,FALSE
28,35,41,89,4.02,FALSE
31,53,33,42,3.03,FALSE
37,31,40,38,1.37,FALSE
33,55,14,49,1.94,FALSE
24,31,33,97,1.43,FALSE
56,53,25,48,2.09,FALSE
60,47,41,2,3.29,FALSE
38,51,26,89,1.56,FALSE
39,45,8,62,4.02,FALSE
30,30,22,29,1.87,FALSE
33,55,1,10,1.77,FALSE
41,36,11,67,3.93,FALSE
30,54,47,25,3.15,FALSE
60,40,4,56,4.9,FALSE
54,36,0,63,4.03,FALSE
52,37,10,67,2.44,FALSE
31,59,46,79,4.56,FALSE
46,33,26,80,2.21,FALSE
25,43,24,90,4.62,FALSE
29,37,18,32,3.76,FALSE
33,52,32,92,1.07,FALSE
26,57,46,53,2.15,FALSE
40,53,14,6,4.42,FALSE
44,42,18,87,2.33,FALSE
31,54,34,47,1.37,FALSE
52,56,43,95,4.89,FALSE
32,60,22,97,1.97,FALSE
33,39,25,65,3.81,FALSE
33,30,0,39,2.55,FALSE
32,51,30,81,1.9,FALSE
39,49,12,22,2.71,FALSE
43,55,25,74,3.62,FALSE
39,39,0,56,1.7,FALSE
36,40,1,68,4.23,FALSE
57,49,26,26,3.76,FALSE
24,33,17,68,4.34,FALSE
25,57,31,30,3.02,FALSE
50,35,17,6,1.41,FALSE
26,52,23,19,3.15,FALSE
40,50,42,3,2.36,FALSE
39,44,0,50,4.97,FALSE
31,30,42,77,2.98,FALSE
57,46,8,19,1.45,FALSE
60,55,40,16,4.27,FALSE
36,47,21,91,2.03,FALSE
59,36,12,52,4.15,FALSE
50,43,36,84,2.96,FALSE
53,50,31,95,4.25,FALSE
31,56,7,57,3.6,FALSE
34,51,37,42,3.29,FALSE
59,38,37,72,2.2,FALSE
35,36,32,45,4.1,FALSE
55,36,3,81,4.03,FALSE
60,42,38,80,3.38,FALSE
43,38,8,89,1.73,FALSE
32,48,10,75,2.1,FALSE
37,58,35,94,1.78,FALSE
28,44,43,83,2.91,FALSE
33,51,1,33,3.84,FALSE
37,54,16,62,3.32,FALSE
42,43,19,59,2.12,FALSE
45,36,27,70,4.6,FALSE
53,34,17,11,2.92,FALSE
26,45,0,46,3.19,FALSE
29,37,12,95,4.31,FALSE
24,60,41,59,3.77,FALSE
43,39,44,82,4.13,FALSE
22,53,21,70,3.85,FALSE
31,32,40,20,3.02,FALSE
43,37,4,65,3.66,FALSE
30,59,4,80,3.88,FALSE
46,53,0,1,1.45,FALSE
29,32,8,73,1.06,FALSE
43,49,30,52,2.41,FALSE
44,40,47,61,2.86,FALSE
37,42,1,14,2.73,FALSE
26,35,9,31,2.21,FALSE
45,51,2,33,4.87,FALSE
32,53,29,0,4.96,FALSE
30,58,36,7,4.33,FALSE
48,53,12,7,3.19,FALSE
26,53,32,98,2.01,FALSE
41,43,15,57,1.28,FALSE
32,53,37,31,2.6,FALSE
25,38,1,36,4.98,FALSE
44,52,42,27,4.46,FALSE
44,39,41,85,3.56,FALSE
44,60,29,15,4.35,FALSE
55,48,40,59,1.04,FALSE
46,41,8,49,4.63,FALSE
34,41,15,17,4.77,FALSE
25,56,21,99,2.49,FALSE
34,56,37,37,1.29,FALSE
59,54,37,69,2.51,FALSE
37,46,15,34,4.11,FALSE
41,38,30,3,3.57,FALSE
46,50,33,77,1.75,FALSE
31,56,28,93,2.89,FALSE
27,45,13,45,1.53,FALSE
60,45,25,49,3.04,FALSE
51,54,35,46,3.4,FALSE
59,42,9,29,2,FALSE
32,60,33,8,2.47,FALSE
22,42,0,88,2.61,FALSE
43,36,9,98,3.54,FALSE
37,30,5,93,1.18,FALSE
31,58,3,98,4.77,FALSE
57,44,36,25,2.63,FALSE
57,41,22,80,4.8,FALSE
60,57,18,11,4.69,FALSE
50,44,18,38,2.98,FALSE
48,53,42,43,1.27,FALSE
52,30,47,67,4.3,FALSE
34,51,9,59,2.27,FALSE
31,34,47,28,4.99,FALSE
29,36,42,55,2.82,FALSE
50,45,13,14,4.04,FALSE
49,34,3,74,4.84,FALSE
35,36,41,95,2.84,FALSE
49,42,4,41,1.34,FALSE
58,34,8,16,1.01,FALSE
54,39,6,25,1.28,FALSE
45,32,45,33,1.38,FALSE
46,33,19,91,4.87,FALSE
57,41,13,41,3.28,FALSE
24,47,48,64,4.18,FALSE
57,32,14,62,3.89,FALSE
59,33,1,59,1.33,FALSE
44,58,18,77,4.52,FALSE
42,30,19,81,3.17,FALSE
28,37,22,57,4.34,FALSE
45,59,17,76,3.07,FALSE
22,43,41,72,3.64,FALSE
56,33,0,21,2.94,FALSE
55,36,21,88,4.24,FALSE
49,38,35,60,1.2,FALSE
59,50,7,33,2.94,FALSE
43,55,6,14,2.73,FALSE
58,34,41,66,1.53,FALSE
44,58,48,1,1.79,FALSE
28,41,23,48,2.21,FALSE
54,32,43,96,4.03,FALSE
47,50,44,66,1.97,FALSE
47,57,28,3,3.37,FALSE
44,37,47,97,4.71,FALSE
29,50,30,18,1.02,FALSE
52,54,28,55,3.62,FALSE
38,32,4,83,2.69,FALSE
25,42,39,62,3.42,FALSE
47,52,12,93,1.77,FALSE
58,50,11,77,4.38,FALSE
26,47,6,31,2.94,FALSE
45,45,47,92,2.84,FALSE
58,51,3,88,3.72,FALSE
30,43,1,61,2.21,FALSE
57,42,10,67,2.26,FALSE
49,58,7,90,4.44,FALSE
44,44,1,16,4.01,FALSE
33,50,38,70,2.5,FALSE
23,55,1,34,4.26,FALSE
29,33,14,63,3.91,FALSE
52,49,34,65,3.32,FALSE
43,59,48,60,1.8,FALSE
50,49,40,91,4.13,FALSE
57,55,20,54,3.83,FALSE
36,41,19,92,4.27,FALSE
22,58,5,16,2.47,FALSE
43,58,9,75,3.73,FALSE
56,37,42,0,4.13,FALSE
42,48,11,13,4.29,FALSE
24,60,38,76,1.6,FALSE
32,41,32,8,4.64,FALSE
37,51,31,5,2.79,FALSE
54,36,36,0,4.09,FALSE
37,53,1,87,1.4,FALSE
40,40,13,81,3.09,FALSE
42,41,47,21,2.24,FALSE
60,30,21,87,3.12,FALSE
24,38,9,43,4.1,FALSE
49,40,28,97,2.14,FALSE
28,39,5,77,3.07,FALSE
54,59,36,9,1.69,FALSE
23,57,43,31,1.54,FALSE
24,48,38,92,2.26,FALSE
40,60,24,33,2.13,FALSE
38,46,35,79,2.4,FALSE
58,52,42,67,3.58,FALSE
41,47,41,23,1.42,FALSE
24,60,12,44,2.02,FALSE
27,41,38,89,4.82,FALSE
29,60,8,1,1.08,FALSE
51,42,45,67,3.75,FALSE
56,51,27,38,2.41,FALSE
32,57,45,59,1.32,FALSE
27,42,30,63,4.19,FALSE
26,36,23,32,3.73,FALSE
56,53,12,46,1.08,FALSE
60,56,2,87,4.74,FALSE
27,36,21,54,1.54,FALSE
23,49,49,91,1.47,FALSE
50,30,4,18,3.16,FALSE
41,52,16,62,2.91,FALSE
60,45,7,46,3.37,FALSE
56,37,39,70,2.68,FALSE
23,33,10,91,4.05,FALSE
33,42,5,22,1.44,FALSE
50,39,41,97,3.8,FALSE
48,57,30,38,4.81,FALSE
36,55,12,40,3.54,FALSE
44,31,2,99,2.58,FALSE
35,48,25,2,4.57,FALSE
56,41,31,55,4.38,FALSE
40,32,19,6,4.63,FALSE
48,52,26,94,2.57,FALSE
42,47,8,31,4.68,FALSE
58,50,38,22,4.69,FALSE
43,44,29,34,2.88,FALSE
54,34,45,36,3.1,FALSE
28,36,21,66,4.47,FALSE
28,36,16,96,4.25,FALSE
49,55,4,54,1.85,FALSE
24,33,4,57,4.38,FALSE
32,43,19,85,3.58,FALSE
58,38,27,76,4.68,FALSE
38,34,26,61,4.64,FALSE
60,54,8,76,3.68,FALSE
45,58,11,14,2.31,FALSE
60,47,19,9,1.9,FALSE
46,36,11,94,3.79,FALSE
28,41,48,65,2.34,FALSE
47,31,35,89,2.66,FALSE
57,53,14,65,2.44,FALSE
39,57,6,15,2.68,FALSE
31,60,44,37,1.51,FALSE
59,58,11,22,1.36,FALSE
22,60,38,94,3.46,FALSE
25,47,32,93,1.32,FALSE
52,43,37,49,2.17,FALSE
47,34,34,37,3.46,FALSE
41,53,6,39,2.54,FALSE
50,42,41,81,3.98,FALSE
27,51,2,58,2.8,FALSE
28,46,40,35,1.62,FALSE
43,57,6,37,1.24,FALSE
44,42,4,91,4.87,FALSE
43,36,15,62,3.5,FALSE
47,58,4,26,4.59,FALSE
47,51,10,87,4.03,FALSE
35,34,8,49,4.67,FALSE
45,33,43,26,4.82,FALSE
29,47,21,94,1.73,FALSE
42,49,30,32,2.58,FALSE
36,36,26,53,4.73,FALSE
55,58,20,61,3.34,FALSE
49,46,47,89,4.76,FALSE
38,46,33,81,3.69,FALSE
54,30,24,14,3.1,FALSE
49,33,26,99,1.17,FALSE
46,52,37,79,4.29,FALSE
51,46,29,47,1.59,FALSE
31,57,2,44,1.2,FALSE
31,43,39,33,4.54,FALSE
60,55,33,88,1.87,FALSE
45,33,10,63,3.82,FALSE
26,55,30,49,2.14,FALSE
39,45,37,7,4.06,FALSE
51,58,0,39,2.16,FALSE
43,40,32,41,2.03,FALSE
34,60,49,18,3.18,FALSE
26,57,4,94,2.48,FALSE
47,57,34,70,4.98,FALSE
53,46,9,57,3.5,FALSE
27,56,15,54,4.55,FALSE
59,54,26,1,3.47,FALSE
29,43,2,59,3.83,FALSE
32,48,27,17,4.17,FALSE
34,39,47,77,1.84,FALSE
49,41,10,73,3.67,FALSE
58,48,38,51,3.26,FALSE
24,40,9,40,4.81,FALSE
37,37,8,91,4.61,FALSE
35,37,21,97,1.16,FALSE
57,60,41,18,2.73,FALSE
39,30,48,1,1.67,FALSE
48,36,8,27,1.98,FALSE
47,54,44,28,3.91,FALSE
22,30,17,97,4.73,FALSE
39,40,46,46,2.79,FALSE
34,37,1,9,3.94,FALSE
44,55,49,44,4.3,FALSE
34,43,38,5,1.86,FALSE
51,51,12,68,2.81,FALSE
40,59,38,76,3.74,FALSE
30,53,30,47,3.74,FALSE
38,37,31,84,2.39,FALSE
59,47,31,47,1.96,FALSE
34,45,37,56,3.28,FALSE
36,41,28,88,4.4,FALSE
31,44,23,22,4.89,FALSE
56,33,45,38,1.47,FALSE
35,59,49,40,1.37,FALSE
34,42,6,30,4.11,FALSE
24,59,19,66,2.45,FALSE
42,30,1,14,1.84,FALSE
28,34,38,97,2.05,FALSE
44,54,36,94,1.09,FALSE
22,52,1,4,1.21,FALSE
27,37,21,9,3.29,FALSE
27,34,20,74,4.47,FALSE
26,56,1,9,1.8,FALSE
23,50,15,77,2.36,FALSE
46,50,24,73,2.34,FALSE
26,54,3,6,3.98,FALSE
38,36,36,58,3.15,FALSE
49,46,33,64,2.3,FALSE
28,39,29,90,1.14,FALSE
49,52,31,24,2.13,FALSE
53,54,34,62,1.66,FALSE
38,58,35,78,2.54,FALSE
32,39,1,76,4.21,FALSE
32,60,16,89,3.31,FALSE
33,56,0,65,4.62,FALSE
43,33,48,46,1.35,FALSE
33,42,29,18,3.94,FALSE
40,43,30,31,3.92,FALSE
52,33,42,61,1.39,FALSE
27,43,42,8,1.48,FALSE
46,53,38,43,3.17,FALSE
24,42,24,31,4.08,FALSE
29,34,36,23,3.75,FALSE
39,60,33,5,2.02,FALSE
55,56,9,41,1.59,FALSE
49,45,12,95,4.31,FALSE
38,30,18,80,4.63,FALSE
40,40,23,53,2.99,FALSE
60,51,10,13,3.72,FALSE
49,47,8,83,3.24,FALSE
41,43,35,62,1.7,FALSE
39,40,42,72,1.49,FALSE
24,42,22,90,1.97,FALSE
33,38,20,71,1.54,FALSE
50,31,38,17,1.32,FALSE
39,35,18,66,2.89,FALSE
27,42,14,72,2.95,FALSE
43,59,48,18,2.41,FALSE
35,53,40,86,4.43,FALSE
27,34,28,60,2.65,FALSE
41,47,31,75,2.2,FALSE
22,34,38,29,3.29,FALSE
56,58,47,58,3.34,FALSE
49,40,49,7,1.27,FALSE
37,30,46,71,3.01,FALSE
31,37,17,18,3.11,FALSE
25,31,44,70,1.41,FALSE
60,44,18,67,4.36,FALSE
33,60,37,12,4.55,FALSE
29,40,37,6,3.36,FALSE
32,54,8,43,1.42,FALSE
57,38,26,84,2.9,FALSE
39,44,44,29,4.13,FALSE
59,40,14,66,3.93,FALSE
35,50,37,86,4.33,FALSE
60,60,5,57,4.72,FALSE
53,30,49,4,2.98,FALSE
44,41,5,5,3.99,FALSE
24,32,30,54,4.69,FALSE
