Years_At_Company,Performance_Score,Monthly_Salary,Remote_Work_Frequency,Training_Hours,Promotions,Employee_Satisfaction_Score,Resigned
9,4,7000,0,64,2,4.99,TRUE
2,1,6600,25,77,0,3.52,TRUE
9,3,4550,25,30,0,1.6,TRUE
7,3,5200,100,36,2,2.31,TRUE
1,3,7800,100,63,2,4.2,TRUE
4,2,7200,100,2,2,3.75,TRUE
3,2,4200,0,4,1,3.33,TRUE
1,1,4950,50,81,2,1.38,TRUE
6,1,6600,100,80,2,3.44,TRUE
6,4,7000,100,3,2,2.63,TRUE
3,2,5400,50,66,1,4.56,TRUE
0,4,6300,75,97,0,2.21,TRUE
8,5,6750,75,19,0,1.51,TRUE
1,1,4950,75,45,1,1.83,TRUE
3,4,7700,100,48,1,2.16,TRUE
9,5,5250,25,61,0,4.09,TRUE
6,4,8400,25,39,2,2.01,TRUE
0,1,6600,100,6,1,4.48,TRUE
5,3,7800,50,72,1,2.54,TRUE
1,1,4950,25,47,0,3.02,TRUE
6,2,7200,75,16,1,4.75,TRUE
5,2,7200,50,47,0,3.46,TRUE
4,2,7200,75,74,0,2.44,TRUE
9,3,7800,0,51,2,2.94,TRUE
0,5,7500,0,87,1,2.12,TRUE
2,3,5200,25,0,0,3.41,TRUE
4,4,7000,75,21,1,1.59,TRUE
9,5,5250,25,41,0,3.02,TRUE
5,5,7500,0,62,0,4.49,TRUE
5,3,5850,25,43,0,4.91,TRUE
8,4,7700,50,2,1,4.27,TRUE
9,4,8400,25,8,0,1.83,TRUE
8,3,6500,75,10,0,3.44,TRUE
3,5,8250,75,34,1,3.33,TRUE
0,4,7700,50,83,2,1.99,TRUE
7,5,9000,100,4,1,2.62,TRUE
0,5,8250,100,88,2,2.13,TRUE
6,5,7500,75,8,2,2.71,TRUE
0,1,6600,75,37,1,4.96,TRUE
6,4,8400,75,34,2,3.4,TRUE
9,2,6000,50,56,2,1.85,TRUE
4,1,6600,50,94,2,2.96,TRUE
2,3,6500,100,28,0,1.47,TRUE
2,1,4950,25,63,0,1.94,TRUE
4,3,7800,25,6,2,1.99,TRUE
5,5,9000,25,15,1,1.39,TRUE
4,2,6000,100,86,0,1.85,TRUE
8,5,8250,50,38,1,3.96,TRUE
4,5,7500,75,52,2,2.41,TRUE
8,1,6600,50,96,1,4.13,TRUE
3,2,4800,50,55,1,1.19,TRUE
0,2,4200,50,81,2,3.52,TRUE
1,3,4550,100,56,2,2.65,TRUE
6,4,7700,50,18,0,2.53,TRUE
3,3,5850,100,42,1,4.35,TRUE
0,5,9000,75,6,1,3.78,TRUE
1,2,4200,25,9,2,2.32,TRUE
2,2,6600,75,29,0,1.71,TRUE
4,2,4200,25,25,0,4.23,TRUE
7,2,4800,25,42,2,1.22,TRUE
4,5,8250,100,69,0,4.89,TRUE
5,5,6750,75,12,2,3.87,TRUE
2,3,7150,25,7,0,3.73,TRUE
7,5,7500,50,30,0,4.39,TRUE
8,4,7000,75,32,0,1.91,TRUE
1,5,9000,75,80,0,4.94,TRUE
3,4,4900,25,42,2,2.71,TRUE
3,3,4550,25,64,2,1.73,TRUE
9,3,5200,100,60,0,1.88,TRUE
1,2,6000,75,14,2,2.1,TRUE
5,3,7800,75,19,0,2.1,TRUE
9,5,7500,75,65,2,4.25,TRUE
9,4,8400,25,21,0,4.02,TRUE
1,4,5600,100,10,2,1.79,TRUE
8,3,5850,50,33,1,1.14,TRUE
6,2,5400,25,77,2,2.53,TRUE
7,2,5400,0,40,1,1.2,TRUE
5,4,7000,50,6,2,3.24,TRUE
4,4,4900,25,40,0,1.67,TRUE
5,4,7700,0,15,1,1.34,TRUE
9,4,7000,25,70,0,1.05,TRUE
3,3,7150,100,1,1,1.34,TRUE
0,1,6600,50,72,0,1.54,TRUE
5,2,4800,25,58,1,1.18,TRUE
9,4,6300,100,23,1,2.88,TRUE
5,5,6000,75,51,1,3.73,TRUE
6,5,8250,0,97,0,2.16,TRUE
5,2,4800,75,97,2,2.62,TRUE
9,4,4900,50,44,0,2.07,TRUE
8,5,8250,50,12,0,3.59,TRUE
6,3,4550,50,0,2,2.59,TRUE
0,5,8250,0,5,1,2.15,TRUE
1,4,8400,25,52,1,3.06,TRUE
1,4,8400,25,36,2,2.34,TRUE
1,2,4800,100,51,2,1.34,TRUE
1,5,6750,50,64,2,4.58,TRUE
8,5,8250,100,91,0,3.42,TRUE
6,3,4550,0,63,1,4.87,TRUE
5,3,7150,75,13,0,2.9,TRUE
4,1,5500,75,35,1,3.64,TRUE
6,3,6500,75,46,0,1.01,TRUE
3,2,6600,100,60,2,1.81,TRUE
4,4,7700,75,10,0,3.72,TRUE
0,2,7200,25,13,0,3.78,TRUE
4,2,4800,50,99,2,4.94,TRUE
9,4,7700,50,85,0,3.64,TRUE
6,4,8400,75,28,0,3.33,TRUE
7,2,5400,50,32,0,3.89,TRUE
1,5,6000,0,95,1,3.8,TRUE
8,4,8400,100,6,1,4.8,TRUE
1,5,8250,75,85,0,3.12,TRUE
0,4,7000,50,39,1,2.69,TRUE
5,5,6750,25,87,2,2.6,TRUE
4,5,7500,50,26,1,4.11,TRUE
4,5,6750,25,6,1,3.46,TRUE
2,4,6300,100,24,2,3.9,TRUE
5,1,6600,100,6,2,3.68,TRUE
6,1,4400,75,92,1,2.55,TRUE
9,2,5400,0,47,0,2.98,TRUE
9,5,8250,0,80,0,1.51,TRUE
7,1,5500,100,38,1,3.63,TRUE
5,4,4900,0,48,1,4.79,TRUE
5,1,5500,0,80,2,3.3,TRUE
6,1,6600,0,45,2,1.51,TRUE
7,2,7200,100,81,0,4.06,TRUE
7,2,7200,25,69,0,3.83,TRUE
4,5,8250,100,84,0,3.33,TRUE
0,2,7200,75,53,2,1.22,TRUE
0,3,7150,75,86,0,4,TRUE
1,5,6000,100,10,1,1.54,TRUE
9,2,6600,100,87,2,2.23,TRUE
0,5,6750,50,35,2,1.03,TRUE
9,4,7000,25,82,0,2.83,TRUE
3,3,7800,0,90,0,1.68,TRUE
2,5,7500,25,2,2,2.31,TRUE
3,4,7000,100,38,1,4.75,TRUE
6,1,6600,25,22,2,2.52,TRUE
7,4,7700,25,14,2,1.36,TRUE
6,2,6000,75,61,0,1.13,TRUE
8,1,6600,50,20,1,3.34,TRUE
2,1,6600,0,75,0,1.76,TRUE
5,5,9000,25,84,0,2.04,TRUE
7,1,5500,100,79,1,2.63,TRUE
0,1,5500,25,49,1,4.03,TRUE
9,2,6000,100,70,2,3.54,TRUE
9,2,7200,25,43,0,4.05,TRUE
4,4,8400,50,6,0,2.62,TRUE
9,2,4200,25,57,0,2.5,TRUE
7,4,7700,100,60,0,3.79,TRUE
2,4,8400,100,0,0,4.91,TRUE
1,1,4950,0,36,2,1.91,TRUE
6,1,6050,0,36,2,3.41,TRUE
7,2,6600,25,53,1,2.52,TRUE
9,4,7700,100,66,1,1.33,TRUE
1,1,6050,50,12,0,1.11,TRUE
1,3,5850,75,0,0,1.51,TRUE
8,1,4950,0,44,2,4.73,TRUE
4,4,5600,0,86,0,3.89,TRUE
1,4,5600,75,15,0,1.67,TRUE
8,5,5250,100,76,1,3.96,TRUE
3,2,6000,100,34,0,4.8,TRUE
1,5,7500,50,79,1,2.86,TRUE
4,1,4400,100,68,1,1.32,TRUE
8,2,6600,25,27,1,4.7,TRUE
5,1,4950,100,80,0,4.73,TRUE
8,5,7500,0,84,1,3.37,TRUE
3,1,6600,0,46,0,2.72,TRUE
4,5,7500,75,20,2,3.29,TRUE
3,2,7200,25,84,2,4.2,TRUE
1,4,8400,50,74,2,4.21,TRUE
5,2,7200,75,82,1,2.36,TRUE
2,4,4900,0,2,0,3.94,TRUE
7,3,6500,0,58,2,1.17,TRUE
4,4,8400,100,33,2,3.25,TRUE
1,3,7150,100,77,0,1.49,TRUE
5,2,7200,100,27,1,1.18,TRUE
2,3,7800,75,85,0,2.7,TRUE
3,5,6000,25,26,2,3.58,TRUE
0,4,4900,0,11,0,1.49,TRUE
1,3,7800,75,44,1,4.93,TRUE
5,3,5200,0,65,1,4.39,TRUE
5,1,6050,50,24,1,3.07,TRUE
6,1,5500,50,35,1,4.63,TRUE
3,3,6500,25,23,2,4.59,TRUE
4,3,4550,50,43,0,2.23,TRUE
1,1,6600,100,72,1,4.78,TRUE
3,3,6500,75,52,0,4.34,TRUE
4,2,6000,25,30,0,2.37,TRUE
1,5,6000,50,83,1,4.1,TRUE
7,4,8400,0,41,2,1.4,TRUE
8,3,6500,75,35,0,2.49,TRUE
3,5,6000,75,41,1,1.54,TRUE
2,3,5850,75,20,2,1.42,TRUE
9,2,6000,0,99,0,2.1,TRUE
3,4,8400,25,69,1,3.39,TRUE
1,2,7200,75,67,1,4.56,TRUE
5,3,5200,25,50,2,1.77,TRUE
7,2,4800,50,19,2,3.68,TRUE
4,1,5500,75,55,0,3.14,TRUE
0,3,5200,50,31,1,2.19,TRUE
8,1,5500,100,84,0,2.4,TRUE
5,4,8400,25,64,1,4.17,TRUE
2,1,6600,50,90,0,3.79,TRUE
9,3,4550,25,5,0,3.56,TRUE
1,1,5500,0,58,2,3.21,TRUE
5,3,4550,25,17,0,3.47,TRUE
0,2,7200,75,85,1,4.52,TRUE
2,5,8250,100,25,2,3.21,TRUE
2,1,5500,0,28,2,1.56,TRUE
0,1,5500,0,76,1,3.28,TRUE
7,5,5250,50,28,0,3.87,TRUE
2,1,4400,50,50,2,3.56,TRUE
5,4,5600,75,0,0,2.11,TRUE
5,2,5400,75,4,1,2.06,TRUE
4,1,4400,25,38,2,3.39,TRUE
3,2,4800,50,45,2,2.24,TRUE
5,5,6000,100,23,0,2.29,TRUE
5,2,7200,100,95,2,2.51,TRUE
6,4,8400,25,55,1,2.5,TRUE
8,2,6000,25,53,2,2.7,TRUE
7,2,5400,25,49,0,2.16,TRUE
5,1,3850,75,11,2,3.35,TRUE
4,4,8400,50,75,1,4.08,TRUE
9,3,5200,0,81,1,3.64,TRUE
6,5,6750,50,19,1,4.01,TRUE
9,5,6750,0,4,2,4.96,TRUE
2,5,8250,25,55,0,1.25,TRUE
9,1,5500,25,27,2,1.67,TRUE
7,1,3850,0,76,0,1.89,TRUE
4,2,5400,75,38,2,3.3,TRUE
8,4,5600,100,88,1,3.13,TRUE
2,5,6000,75,11,1,2.48,TRUE
4,2,7200,0,32,2,4.78,TRUE
1,1,6600,75,10,1,4.39,TRUE
2,3,7800,100,43,0,2.05,TRUE
7,4,7700,25,76,1,2.24,TRUE
3,1,5500,0,3,0,2.48,TRUE
1,4,8400,75,14,0,2.79,TRUE
3,2,5400,75,84,1,1.36,TRUE
5,5,6750,25,4,0,2.82,TRUE
2,2,4200,25,75,2,2.28,TRUE
9,2,7200,100,6,2,2,TRUE
5,5,7500,100,35,0,2.3,TRUE
7,3,5200,75,60,0,1.13,TRUE
3,5,7500,75,26,1,3.25,TRUE
2,5,9000,25,65,1,3.29,TRUE
4,4,7700,100,97,1,1.71,TRUE
7,5,5250,25,81,0,3.99,TRUE
4,3,5850,100,70,0,4.73,TRUE
1,5,6750,50,31,2,2.86,TRUE
2,2,4200,50,6,2,2.12,TRUE
0,3,5200,25,48,2,1.13,TRUE
3,5,8250,50,91,2,4.64,TRUE
0,2,7200,75,63,1,3.46,TRUE
1,2,6600,0,23,1,1.48,TRUE
4,3,7800,100,5,0,1.39,TRUE
2,2,7200,25,57,0,3.52,TRUE
3,4,7000,50,5,1,1.6,TRUE
9,3,5200,25,44,0,2.56,TRUE
9,4,7700,100,78,2,2.14,TRUE
9,5,6000,0,91,2,4.04,TRUE
6,4,6300,50,63,2,2.38,TRUE
4,3,5850,25,33,1,1.84,TRUE
6,1,3850,50,16,0,2.81,TRUE
1,5,7500,25,27,1,4.8,TRUE
8,4,8400,25,85,1,2.1,TRUE
0,1,6600,100,68,0,1.03,TRUE
9,4,7000,100,42,2,2.34,TRUE
6,1,3850,50,60,2,1.18,TRUE
4,5,7500,50,43,0,4.41,TRUE
3,1,4400,75,77,0,3.52,TRUE
7,2,6600,100,31,2,4.56,TRUE
5,3,7800,25,14,2,2.99,TRUE
3,1,4400,0,30,1,4.6,TRUE
5,2,5400,0,4,0,2.49,TRUE
6,2,7200,25,88,2,1.48,TRUE
6,1,5500,50,19,0,3.66,TRUE
2,5,6000,25,26,0,1.54,TRUE
6,2,7200,100,24,1,2.12,TRUE
7,3,7800,25,31,2,3.71,TRUE
8,5,8250,100,91,0,3.8,TRUE
3,3,7800,25,61,1,2.08,TRUE
0,1,3850,50,8,1,3.93,TRUE
8,1,6600,75,76,0,1.82,TRUE
3,1,6050,75,22,2,2.2,TRUE
5,2,7200,0,63,1,3.64,TRUE
1,1,6050,0,2,1,1.57,TRUE
4,3,7150,50,62,1,2.85,TRUE
3,2,4200,75,89,0,3.38,TRUE
8,4,5600,100,13,2,3.21,TRUE
9,1,4950,0,73,0,2.78,TRUE
6,1,5500,0,39,1,4.13,TRUE
5,4,7000,100,84,1,2.73,TRUE
4,2,4200,100,64,0,4.18,TRUE
6,1,6600,50,14,2,4.61,TRUE
6,5,5250,100,8,0,1.07,TRUE
3,3,6500,50,84,0,2.98,TRUE
2,4,7700,100,91,1,1.46,TRUE
0,4,7700,25,22,0,2.33,TRUE
6,3,4550,25,52,2,3.13,TRUE
6,3,7150,50,81,2,4.96,TRUE
7,4,5600,0,59,1,3.1,TRUE
6,2,4200,50,75,1,1.26,TRUE
2,3,4550,0,88,1,1.71,TRUE
0,5,5250,50,97,0,2.89,TRUE
4,5,7500,50,98,0,1.88,TRUE
1,5,8250,0,71,0,4.3,TRUE
6,4,7000,0,28,0,1.95,TRUE
8,4,4900,100,40,1,2.63,TRUE
8,1,3850,75,2,1,3.38,TRUE
1,3,4550,75,20,2,3.98,TRUE
8,3,5850,0,83,0,4.36,TRUE
6,4,8400,0,74,2,4.28,TRUE
5,4,8400,75,32,2,4.47,TRUE
7,2,4800,0,8,0,4.06,TRUE
6,5,6750,25,58,0,3.28,TRUE
7,2,7200,25,30,0,1.79,TRUE
3,1,3850,25,25,2,1.55,TRUE
3,5,9000,100,67,1,1.29,TRUE
9,2,6600,75,62,2,4.47,TRUE
9,4,5600,50,70,2,4.59,TRUE
9,4,8400,100,58,0,2.37,TRUE
6,2,4200,25,69,0,3.58,TRUE
4,4,6300,0,21,1,3.61,TRUE
6,1,3850,25,87,2,3.42,TRUE
9,5,6750,75,55,0,2.64,TRUE
0,5,9000,75,22,2,2.23,TRUE
3,4,8400,25,0,2,2.03,TRUE
2,1,3850,0,30,0,2.72,TRUE
5,5,6000,0,26,0,1.75,TRUE
4,5,6750,25,15,0,2.29,TRUE
4,3,7150,100,29,2,4.15,TRUE
6,2,6600,75,0,2,4.39,TRUE
1,5,8250,25,25,1,1.45,TRUE
6,5,5250,75,75,0,1.67,TRUE
7,1,4950,0,30,0,3.3,TRUE
6,5,6000,50,70,0,1.37,TRUE
4,3,7800,100,33,2,4.8,TRUE
8,3,4550,100,60,2,2.68,TRUE
7,1,6050,75,10,1,4.38,TRUE
9,2,7200,50,13,1,2.74,TRUE
4,1,4950,0,20,0,3.2,TRUE
8,3,7150,100,38,1,1.47,TRUE
9,1,5500,0,32,0,2.05,TRUE
9,2,4800,25,74,1,2.54,TRUE
4,2,4800,50,98,2,3.69,TRUE
7,5,5250,50,51,2,4.03,TRUE
4,2,4200,75,49,1,3.91,TRUE
4,5,8250,25,60,0,2.73,TRUE
9,4,7700,0,4,0,4.46,TRUE
8,2,4800,0,44,0,4.54,TRUE
5,3,4550,100,91,1,4.31,TRUE
0,1,5500,75,28,1,3.33,TRUE
5,2,4800,0,81,0,2.46,TRUE
9,1,6600,100,61,0,3.31,TRUE
8,4,7000,25,42,1,1.63,TRUE
0,2,7200,0,13,2,3.79,TRUE
9,2,5400,75,81,1,4.66,TRUE
6,4,8400,100,38,1,3.71,TRUE
1,2,5400,25,13,1,1.81,TRUE
5,1,4400,100,77,0,1.72,TRUE
8,5,6000,50,44,0,1.65,TRUE
9,4,4900,25,34,1,3.7,TRUE
7,5,6750,25,36,2,2.03,TRUE
5,3,7800,75,10,0,2.84,TRUE
3,3,7800,25,39,1,1.21,TRUE
1,3,4550,25,72,2,1.97,TRUE
5,3,7800,75,3,0,3,TRUE
2,4,4900,75,53,2,1.68,TRUE
8,2,7200,50,59,1,2.5,TRUE
4,4,6300,100,23,2,2.35,TRUE
3,3,6500,100,95,1,2.14,TRUE
5,4,6300,0,83,1,4.06,TRUE
4,2,5400,25,33,2,3.02,TRUE
1,5,6750,100,85,1,2.22,TRUE
1,2,6000,75,16,0,1.39,TRUE
8,1,4400,50,88,1,2.83,TRUE
4,5,8250,50,48,1,2.68,TRUE
0,4,5600,25,26,1,2.65,TRUE
9,5,6750,25,19,0,3.24,TRUE
3,1,3850,25,25,1,1.17,TRUE
6,4,5600,25,1,2,4.88,TRUE
6,5,6750,50,76,1,4.58,TRUE
5,1,4400,0,87,0,1.37,TRUE
7,3,4550,50,0,1,3.04,TRUE
0,5,8250,100,18,2,1.28,TRUE
0,2,6000,0,87,1,1.48,TRUE
2,3,7800,50,43,2,4.26,TRUE
3,1,5500,25,50,1,4.4,TRUE
2,4,6300,100,21,2,4.04,TRUE
0,1,3850,100,38,2,2.6,TRUE
4,1,4950,0,69,2,3.01,TRUE
1,4,5600,0,36,2,4.72,TRUE
3,3,5200,25,26,1,1.62,TRUE
0,1,4400,50,74,0,4.03,TRUE
2,3,5850,25,29,0,3.72,TRUE
5,4,4900,50,76,2,4.83,TRUE
6,5,6000,100,47,2,4.99,TRUE
0,4,7700,50,49,0,3.35,TRUE
5,5,7500,50,24,2,4.7,TRUE
9,5,6750,0,84,2,3.07,TRUE
9,3,4550,50,19,1,4.4,TRUE
2,5,5250,100,58,0,2.44,TRUE
8,2,7200,25,94,0,1.1,TRUE
3,4,5600,25,84,0,2.53,TRUE
3,4,7700,75,33,2,4.15,TRUE
4,2,7200,50,65,2,4.98,TRUE
4,5,9000,75,36,1,2.99,TRUE
0,5,8250,25,1,0,4.83,TRUE
4,1,4950,100,3,1,3.17,TRUE
5,3,7800,50,7,2,3.43,TRUE
4,5,5250,50,68,1,2.39,TRUE
2,3,6500,100,33,1,4.18,TRUE
1,1,6600,100,76,2,2.8,TRUE
6,3,5200,0,49,1,4.73,TRUE
8,1,3850,75,39,0,4.31,TRUE
2,3,7800,100,88,1,3.68,TRUE
7,2,6000,0,29,1,3.22,TRUE
3,2,4800,75,36,1,2.23,TRUE
1,2,6600,0,18,1,4.16,TRUE
4,2,7200,25,55,2,1.19,TRUE
3,2,5400,75,52,2,3.8,TRUE
7,3,5200,25,13,0,3.02,TRUE
9,3,5200,25,73,0,1.74,TRUE
5,3,4550,75,16,0,1.18,TRUE
7,3,7800,75,25,2,2.45,TRUE
4,5,6000,25,27,0,1.37,TRUE
7,1,4400,25,0,2,4.61,TRUE
3,4,7700,0,99,0,1.02,TRUE
9,4,8400,75,18,0,3.28,TRUE
5,2,6000,50,20,0,1.56,TRUE
2,4,5600,75,45,2,1.53,TRUE
6,5,8250,50,44,1,1.7,TRUE
0,3,7150,50,60,1,3.61,TRUE
1,4,8400,0,37,0,4.16,TRUE
9,5,7500,75,93,1,4.11,TRUE
9,2,7200,75,95,1,4.25,TRUE
8,4,8400,50,81,1,1.92,TRUE
8,3,4550,0,12,1,4.69,TRUE
4,3,6500,50,44,2,1.71,TRUE
2,2,6600,75,47,2,1.12,TRUE
1,4,7000,50,60,0,4.4,TRUE
4,4,7700,100,54,0,4.15,TRUE
8,1,3850,25,98,2,2.42,TRUE
0,3,6500,0,21,2,2.81,TRUE
7,5,9000,25,10,2,1.91,TRUE
5,4,4900,50,3,1,1.01,TRUE
3,1,6600,25,61,2,1.24,TRUE
9,4,8400,75,73,2,4.73,TRUE
8,5,9000,100,11,0,1.3,TRUE
8,2,4800,50,34,0,4.86,TRUE
7,3,5850,75,50,2,1.72,TRUE
1,5,9000,0,15,1,1.65,TRUE
5,3,4550,75,63,1,2.92,TRUE
3,4,7700,100,29,1,3.29,TRUE
4,5,6000,100,69,0,4.43,TRUE
0,5,6750,0,14,0,3.77,TRUE
4,1,3850,25,12,0,2.4,TRUE
3,1,4950,75,15,1,4.41,TRUE
2,1,6600,75,64,2,2.81,TRUE
4,5,9000,75,16,0,3.76,TRUE
7,1,6600,25,69,2,2.43,TRUE
8,4,8400,25,92,1,1.82,TRUE
7,2,6000,100,98,2,2.62,TRUE
5,2,6600,0,70,2,2.96,TRUE
5,1,6600,0,68,0,1.25,TRUE
8,5,8250,75,21,1,2.56,TRUE
6,5,9000,25,98,1,2.14,TRUE
5,3,7800,75,51,1,5,TRUE
7,4,4900,100,29,0,4.09,TRUE
6,1,6050,25,79,0,2.75,TRUE
1,1,4400,75,0,1,4.48,TRUE
9,3,7800,50,65,2,3.72,TRUE
2,5,9000,50,80,1,1.84,TRUE
0,1,6050,25,95,0,3.62,TRUE
9,1,4400,100,61,1,4.88,TRUE
4,1,6600,25,12,2,2.36,TRUE
6,2,6000,25,6,1,3.91,TRUE
5,1,6600,25,37,0,1.57,TRUE
6,4,6300,0,39,2,3.27,TRUE
2,4,8400,75,43,0,4.47,TRUE
4,5,9000,100,71,0,3.91,TRUE
4,5,9000,50,82,1,2.01,TRUE
4,4,4900,100,77,1,2.18,TRUE
9,5,7500,25,76,2,1.99,TRUE
5,4,4900,25,10,1,3.27,TRUE
0,5,7500,0,78,0,1.11,TRUE
1,3,7800,100,9,2,2.94,TRUE
3,1,6600,75,91,2,2.03,TRUE
3,4,5600,100,40,2,3.59,TRUE
3,1,3850,25,84,1,2.56,TRUE
4,3,6500,25,56,2,3.73,TRUE
3,3,7150,100,8,2,3.41,TRUE
9,3,7150,50,57,2,4.44,TRUE
4,2,6000,0,54,0,2.09,TRUE
8,5,6750,75,6,1,3.27,TRUE
2,1,4950,50,97,2,3.83,TRUE
4,2,4200,50,86,0,2.18,TRUE
6,5,6750,25,86,2,2.71,TRUE
0,1,3850,100,13,0,4.86,TRUE
3,5,7500,25,24,0,2.64,TRUE
3,2,4200,25,95,2,2.38,TRUE
9,3,7800,50,15,0,1.26,TRUE
7,2,7200,50,54,1,1.14,TRUE
3,4,7000,25,24,2,1.16,TRUE
